CODESC,TIPOESC,NOMESC,DRE,DIRETORIA,SUBPREF,CEU,ENDERECO,NUMERO,BAIRRO,CEP,TEL1,TEL2,FAX,SITUACAO,CDIST,DISTRITO,SETOR,CODSEE,CODINEP,EH,NOME_ANT,T2D3D,DTURNOS,LATITUDE,LONGITUDE,REDE,DATABASE,TOTCLA,TOTALU
400076,CEI DIRET,"MARIA MARGARIDA RODRIGUES DE OLIVEIRA, PROFA",SA,SANTO AMARO,CIDADE ADEMAR,,RUA DOMÊNICO DE PALMA,401,CUPECÊ,04652234,55623781,56771115,,Ativa,22,CIDADE ADEMAR,2202,0238818,35238818,161073125000000,JARDIM CUPECE,2D,INTEGR,-23664030,-46666117,DIR,31/10/2016,10,129
400092,CEI DIRET,JARDIM LUSO,SA,SANTO AMARO,CIDADE ADEMAR,,RUA OLDEGARD OLSEN SAPUCAIA,275,JARDIM LUSO,04421000,56218005,,56258333,Ativa,22,CIDADE ADEMAR,2205,0238788,35238788,161073128000000,,2D,INTEGR,-23688040,-46636214,DIR,31/10/2016,18,211
400191,CEI DIRET,ONADYR MARCONDES,SA,SANTO AMARO,CIDADE ADEMAR,,RUA ISAIAS,85,JARDIM MARIA LUIZA,04434030,56211595,,,Ativa,22,CIDADE ADEMAR,2204,0238797,35238797,161073131000000,,2D,INTEGR,-23679117,-46666712,DIR,31/10/2016,18,234
400247,CEI DIRET,PALMIRA DOS SANTOS ABRANTE,SA,SANTO AMARO,CIDADE ADEMAR,,RUA FRANCISCO DE ALVARENGA,451,JARDIM MIRIAM,04417260,56251333,56217953,,Ativa,22,CIDADE ADEMAR,2206,0238824,35238824,161073134000000,VILA ELIDA,2D,INTEGR,-23680496,-46636379,DIR,31/10/2016,15,152
400250,CEI DIRET,VILA IMPERIO,SA,SANTO AMARO,CIDADE ADEMAR,,RUA CARAXUÉS,27,CIDADE ADEMAR,04405170,5562-5896,,,Ativa,22,CIDADE ADEMAR,2203,0238806,35238806,161073141000000,,2D,MTG,-23672819,-46655782,DIR,31/10/2016,14,220
400253,CEI DIRET,VILA MISSIONARIA,SA,SANTO AMARO,CIDADE ADEMAR,,RUA PIETRO MONGINI,S/N,VILA MISSIONARIA,04430040,56111194,,56111194,Ativa,22,CIDADE ADEMAR,2205,0238879,35238879,161073142000000,,2D,INTEGR,-23688870,-46649177,DIR,31/10/2016,9,123
400223,CEI DIRET,"RUBENS GRANJA, VER.",SA,SANTO AMARO,CIDADE ADEMAR,,RUA SANTA CRUZ DO RIO PARDO,252,AMERICANÓPOLIS,04411120,56210756,56214569,,Ativa,22,CIDADE ADEMAR,2203,0238892,35238892,161073139000000,VILA SANTO AFONSO,2D,MTG,-23679107,-46643736,DIR,31/10/2016,11,177
308579,CR.P.CONV,MASCOTE II,SA,SANTO AMARO,CIDADE ADEMAR,,RUA JORGE MARTINHO PRADO,102,VILA CONSTANÇA,04658270,,,,Ativa,22,CIDADE ADEMAR,2202,0582931,35582931,,,2D,INTEGR,-23667244,-46667750,CON,31/10/2016,14,202
308592,CR.P.CONV,LOURDINHA PINHEIRO,SA,SANTO AMARO,CIDADE ADEMAR,,AVENIDA YERVANT KISSAJIKIAN,2941,AMERICANÓPOLIS,04428010,56254752,,,Ativa,22,CIDADE ADEMAR,2205,0583273,35583273,,,2D,INTEGR,-23680669,-46654128,CON,31/10/2016,14,192
308612,CR.P.CONV,VENHA CONOSCO IV,SA,SANTO AMARO,CIDADE ADEMAR,,AVENIDA SANTO AFONSO,1114,JARDIM MIRIAM,04426000,,,,Ativa,22,CIDADE ADEMAR,2203,0584685,35584685,,,2D,INTEGR,-23676415,-46643074,CON,31/10/2016,12,198
308678,CR.P.CONV,VIVER MELHOR,SA,SANTO AMARO,CIDADE ADEMAR,,RUA AMERICANÓPOLIS,310,AMERICANÓPOLIS,04428070,56266673,,,Ativa,22,CIDADE ADEMAR,2204,0586985,35586985,,,2D,INTEGR,-23681877,-46655816,CON,31/10/2016,16,163
308482,CR.P.CONV,JARDIM DAS HORTENSIAS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA VARSÓVIA,87,INTERLAGOS,04802140,56662932,,,Ativa,23,CIDADE DUTRA,2302,0580831,35580831,,,2D,INTEGR,-23709986,-46705956,CON,31/10/2016,23,250
400267,CEI DIRET,YOJIRO TAKAOKA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA LOURENCO CABREIRA,1023,JARDIM ANA LUCIA,04812010,56610889,,,Ativa,23,CIDADE DUTRA,2304,0239276,35239276,161075119000000,,2D,INTEGR,-23712553,-46689642,DIR,31/10/2016,10,113
400193,CEI DIRET,"VANDA MARIA RODRIGUES DOS SANTOS, PROFA",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA CORONEL ARLINDO DE OLIVEIRA,136,PARQUE ALTO DO RIO BONITO,04823240,56612172,56639365,,Ativa,23,CIDADE DUTRA,2306,0239239,35239239,161075114000000,PARQUE ALTO RIO BONITO,2D,INTEGR,-23725224,-46695930,DIR,31/10/2016,9,109
400159,CEI DIRET,"JOSE FERREIRA KEFFER, VER.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA IRUPANA,99,JARDIM SAO JOSE,04837010,59289432,,,Ativa,23,CIDADE DUTRA,2309,0239240,35239240,161075108000000,JARDIM SAO JOSE,2D,INTEGR,-23739144,-46700180,DIR,31/10/2016,10,137
400161,CEI DIRET,"JOSE MOLINA JR., VER",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA GASPAR JOSE RAPOSO,S/N,JARDIM MARIA RITA,04814100,56619087,,,Ativa,23,CIDADE DUTRA,2304,0239288,35239288,161075111000000,JARDIM ORIONE,2D,INTEGR,-23719354,-46679551,DIR,31/10/2016,10,132
400144,CEI DIRET,JARDIM UNIVERSITARIO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA GERALDO DO BRUMADO,S/N,JARDIM ANGELINA,04829500,59294840,,,Ativa,23,CIDADE DUTRA,2308,0239264,35239264,161075105000000,,2D,INTEGR,-23736293,-46709831,DIR,31/10/2016,12,136
400052,CEI DIRET,"GERALDO DE ARRUDA PENTEADO, CEL.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA VALTER RIBEIRO MARRANY,23,VILA SANTA MARIA,04810010,56661685,,,Ativa,23,CIDADE DUTRA,2303,0239227,35239227,161075102000000,,2D,INTEGR,-23712229,-46696037,DIR,31/10/2016,8,95
400705,CEI INDIR,MAE DO BOM CONSELHO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA CELSO LARA BARBERIS,133,INTERLAGOS,04815170,56674898,,,Ativa,23,CIDADE DUTRA,2303,0443840,35443840,161075180000000,INTERLAGOS,2D,INTEGR,-23705194,-46692164,CON,31/10/2016,13,153
400635,CEI INDIR,JARDIM MANACAS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA SAO ROQUE DO PARAGUACU,335,VILA QUINTANA,04837150,59247092,,,Ativa,23,CIDADE DUTRA,2309,0310505,35310505,,,2D,INTEGR,-23744345,-46704679,CON,31/10/2016,12,157
500432,MOVA,SOC MORAD JD IMBUIAS UNID II,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA GONCALO DE PAIVA GOMES,143,JARDIM REPUBLICA,04812090,56616762,,,Ativa,23,CIDADE DUTRA,2304,,,,CENTRO SOCIAL COMUNITARIO JD PRIMAVERA UNID V,2D,MT,-23714530,-46685757,CON,31/10/2016,2,43
500433,MOVA,SOC MORAD JD IMBUIAS UNID I CS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA GIOVANNI ROMANELLI,144,JARDIM DAS IMBUIAS,04829400,59715558,,,Ativa,23,CIDADE DUTRA,2308,,,,,2D,N,-23732992,-46708073,CON,31/10/2016,1,20
019280,CEU EMEI,ARICANDUVA,IQ,ITAQUERA,ITAQUERA,ARICANDUVA,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TERESINHA,03572020,27211097,,,Ativa,24,CIDADE LIDER,2406,0056881,35056881,161076500000300,,2D,INTEGR,-23570402,-46503103,DIR,31/10/2016,8,272
019261,CEU EMEF,"PAULO GOMES CARDIM, PROF. DR.",IQ,ITAQUERA,ITAQUERA,ARICANDUVA,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TERESINHA,03572020,27237539,27237527,,Ativa,24,CIDADE LIDER,2406,0056716,35056716,161076500000200,ARICANDUVA,2D,MTN,-23570402,-46503103,DIR,31/10/2016,31,1008
019143,EMEF,JOSE QUERINO RIBEIRO,IQ,ITAQUERA,ITAQUERA,,RUA CORONEL ALBERT DE ROCHAS DAIGLUM,50,VILA ARICANDUVA,08275570,27484321,,27472788,Ativa,24,CIDADE LIDER,2403,0223232,35223232,161076116000000,JARDIM DAS CARMELITAS,2D,MT,-23569040,-46481441,DIR,31/10/2016,25,793
200077,CIEJA,CENTRO INT ED JOVENS E ADULTOS - ITAQUERA,IQ,ITAQUERA,ITAQUERA,,AVENIDA ITAQUERA,221,CIDADE LIDER,08285060,27464683,27419801,,Ativa,24,CIDADE LIDER,2404,0256481,35256481,161076103000000,CEMES - CENTRO MUN.DE ENS.SUPLETIVO -DREM 09,3D,MIVN,-23552747,-46479497,DIR,31/10/2016,23,580
501562,MOVA,COMUNIDADE CRISTA AVIVAMENTO PLENO II,IQ,ITAQUERA,ITAQUERA,,RUA DOMINGOS JOSÉ PELEGI,40,JARDIM FERNANDES,03581190,,,,Ativa,24,CIDADE LIDER,2402,,,,,2D,N,-23557338,-46498642,CON,31/10/2016,1,20
700023,CEU AT COM,"ARICANDUVA - IRENE GALVAO DE SOUZA, PROFA.",IQ,ITAQUERA,ITAQUERA,ARICANDUVA,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TEREZINHA (ZONA LESTE),03572020,27237543,27231097,27237543,Ativa,24,CIDADE LIDER,2406,0455891,35455891,,,,,-23570402,-46503103,DIR,31/10/2016,0,0
501175,MOVA,ASS TRES IRMAOS UNID II IQ,IQ,ITAQUERA,ITAQUERA,,AVENIDA DOS LATINOS,627,JARDIM SANTA TEREZINHA (ZONA LESTE),03572000,,,,Ativa,24,CIDADE LIDER,2406,,,,,2D,N,-23573025,-46506389,CON,31/10/2016,2,54
400287,CEI DIRET,"CELSO DANIEL, PROF.",IQ,ITAQUERA,ITAQUERA,,RUA JOSE DORIA DE ANDRADE,535,CIDADE LIDER,08285340,27460999,,,Ativa,24,CIDADE LIDER,2404,0279274,35279274,161076102000000,CIDADE LIDER II,2D,INTEGR,-23555472,-46475988,DIR,31/10/2016,10,115
400352,CEI INDIR,JOAQUIM ALENCAR SEIXAS,IQ,ITAQUERA,ITAQUERA,,RUA ALEXANDRE CHEID,602,PARQUE SAVOI CITY,03570100,27439811,,,Ativa,24,CIDADE LIDER,2403,0181961,35181961,,VILA PEDREIRA,2D,INTEGR,-23564649,-46483845,CON,31/10/2016,12,154
400353,CEI INDIR,JARDIM ELIANE,IQ,ITAQUERA,ITAQUERA,,TRAVESSA MARIA DO CARMO DE FREITAS,S/N,JARDIM ELIANE,03578225,27245025,,,Ativa,24,CIDADE LIDER,2401,0181973,35181973,,,2D,INTEGR,-23558402,-46502494,CON,31/10/2016,14,142
400354,CEI INDIR,SANTA TEREZA,IQ,ITAQUERA,ITAQUERA,,RUA ACANTO,73,JARDIM BRASILIA,03583070,27414052,,,Ativa,24,CIDADE LIDER,2402,0181985,35181985,,,2D,INTEGR,-23556000,-46492768,CON,31/10/2016,6,80
400513,CEU CEI,DIRCE MIGLIACCIO,IQ,ITAQUERA,ITAQUERA,ARICANDUVA,RUA OLGA FADEL ABARCA,S/N,JARDIM SANTA TEREZINHA (ZONA LESTE),03572020,27237514,27237538,27237515,Ativa,24,CIDADE LIDER,2406,0056972,35056972,161076500000100,ARICANDUVA,2D,INTEGR,-23570402,-46503103,DIR,31/10/2016,21,259
400469,CEI INDIR,CASA DO CRISTO III,IQ,ITAQUERA,ITAQUERA,,RUA VALE DO IPOJUCA,41,CIDADE LIDER,08285090,27488239,,,Ativa,24,CIDADE LIDER,2404,0811798,35811798,,"LUIZ BIRAGHI, MON.",2D,INTEGR,-23552106,-46466251,CON,31/10/2016,9,112
400814,CEI INDIR,JARDIM KIOTO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA ORFEO PARAVENTE,S/N,JARDIM KIOTO,04832090,,,,Criada,23,CIDADE DUTRA,2308,,,,,,,-23736817,-46716557,CON,31/10/2016,,
400816,CEI INDIR,JARDIM DO ALTO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ALICE DE SOUZA LIMA,150,JARDIM DO ALTO,04823470,,,,Criada,23,CIDADE DUTRA,2306,,,,,,,-23723648,-46697030,CON,31/10/2016,,
400553,CEI DIRET,JARDIM REPUBLICA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA JOSE BONIFACIO FILHO,301,JARDIM SAO BENEDITO,04813060,56626525,,56626525,Ativa,23,CIDADE DUTRA,2304,0121976,35121976,161075122000000,,2D,INTEGR,-23717595,-46687330,DIR,31/10/2016,11,130
400599,CEU CEI,VILA RUBI,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,VILA RUBI,RUA DOMINGOS TARROSO,101,VILA RUBI,04823090,56629428,,,Ativa,23,CIDADE DUTRA,2306,0298311,35298311,161075510000100,,2D,INTEGR,-23728152,-46697056,DIR,31/10/2016,16,211
400515,CEU CEI,CIDADE DUTRA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,CIDADE DUTRA,AVENIDA INTERLAGOS,7350,INTERLAGOS,04777000,56681910,56681911,,Ativa,23,CIDADE DUTRA,2302,0057289,35057289,161075500000100,,2D,INTEGR,-23710910,-46704661,DIR,31/10/2016,25,302
400350,CEI INDIR,JARDIM LEBLON,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA PADRE JOSE GARZOTTI,494,CIDADE DUTRA,04806000,56665576,,,Ativa,23,CIDADE DUTRA,2302,0184342,35184342,,,2D,INTEGR,-23711078,-46702883,CON,31/10/2016,21,250
400351,CEI INDIR,JARDIM DAS IMBUIAS II,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA JOSE LUIS MONTEIRO,513,JARDIM DAS CAMELIAS,04829240,59736909,,,Ativa,23,CIDADE DUTRA,2307,0184378,35184378,,,2D,INTEGR,-23728829,-46709512,CON,31/10/2016,25,280
400360,CEI INDIR,JARDIM GUANABARA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ARNOLD BENNETT,270,GRANJA NOSSA SENHORA APARECIDA,04860130,59253373,,59253373,Ativa,23,CIDADE DUTRA,2309,0184385,35184385,,,2D,INTEGR,-23761705,-46712443,CON,31/10/2016,15,191
400275,CEI DIRET,NICOLAI NICOLAEVICH KOCHERGIN,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA JOSE FRANCISCO DE MORAIS,377,JARDIM COLONIAL,04821150,56633812,,,Ativa,23,CIDADE DUTRA,2305,0279365,35279365,161075116000000,SITIO DAS JABOTICABEIRAS,2D,INTEGR,-23727951,-46687001,DIR,31/10/2016,12,161
400397,CEI INDIR,MARIA NATIVIDADE MACHADO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ERNESTA FRACAROLLI,50,JARDIM SAO RAFAEL,04860040,59397682,,,Ativa,23,CIDADE DUTRA,2310,0184688,35184688,161075176000000,,2D,INTEGR,-23759986,-46718275,CON,31/10/2016,15,171
500451,MOVA,ASSOC CRIA ADOL JOVEM ICARAI UNID VI CS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA DOUTOR VICENTE DE PAULO VICENTE DE AZEVEDO,4,PARQUE SANTA CECÍLIA,04832190,59287776,,,Ativa,23,CIDADE DUTRA,2308,,,,,2D,V,-23737936,-46707268,CON,31/10/2016,1,20
500474,MOVA,ESPACO FORM ASSES E DOCUMENTACAO UNID VII CS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA JOSE CANDIDO,474,PARQUE ALTO DO RIO BONITO,04823420,56665407,,,Ativa,23,CIDADE DUTRA,2306,,,,,2D,N,-23723414,-46693625,CON,31/10/2016,1,20
501558,MOVA,"ASSOCIACAO DA CRIANCA, ADOLESCENTE E JOVENS DO JD ICARAI",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA LOURENÇO CABREIRA,504,JARDIM ANA LÚCIA,04812010,,,,Ativa,23,CIDADE DUTRA,2304,,,,"ASSOCIACAO DA CRIANCA, ADOLESCENTE E JOVENS D",2D,T,-23717285,-46690758,CON,31/10/2016,1,23
501517,MOVA,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA PRESIDENTE JOÃO GOULART,951,JARDIM MÁLIA II,04821010,,,,Ativa,23,CIDADE DUTRA,2304,,,,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI",2D,V,-23721354,-46690156,CON,31/10/2016,1,24
501514,MOVA,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA GÊMEA DANTAS,356,JORDANÓPOLIS,04830300,,,,Ativa,23,CIDADE DUTRA,2307,,,,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI",2D,N,-23732958,-46701536,CON,31/10/2016,1,22
501515,MOVA,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA LOURENÇO DE MATOS,9,VILA PROGRESSO (ZONA SUL),04830090,,,,Ativa,23,CIDADE DUTRA,2307,,,,"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI",2D,TN,-23727428,-46702712,CON,31/10/2016,2,47
700010,CEU AT COM,"CIDADE DUTRA - ADIB SALOMAO, DR.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,CIDADE DUTRA,AVENIDA INTERLAGOS,7350,INTERLAGOS,04777000,56681953,,56681951,Ativa,23,CIDADE DUTRA,2302,0455532,35455532,,,,,-23710910,-46704661,DIR,31/10/2016,0,0
700013,CEU AT COM,"VILA RUBI - ALEXANDRE KADUNC, JORNALISTA",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,VILA RUBI,RUA DOMINGOS TARROSO,101,VILA RUBI,04823090,56629400,,,Ativa,23,CIDADE DUTRA,2306,0455600,35455600,,,2D,MT,-23728152,-46697056,DIR,31/10/2016,6,92
019197,EMEI,ANGELO KRETA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA NOVA DELHI,560,JARDIM EDITH,04813240,56616369,56616380,,Ativa,23,CIDADE DUTRA,2304,0270398,35270398,161075106000000,GUANHEMBU,3D,MIV,-23722685,-46686066,DIR,31/10/2016,15,519
019198,CEU EMEI,"MILTON SANTOS, PROF.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,CIDADE DUTRA,AVENIDA INTERLAGOS,7350,CIDADE DUTRA,04777000,56681925,56681921,56681923,Ativa,23,CIDADE DUTRA,2302,0270386,35270386,161075500000300,VILA SAO JOSE,2D,MT,-23710910,-46704661,DIR,31/10/2016,20,616
019210,EMEI,ORLANDO VILLAS BOAS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA PAULO COSTA RIBEIRO BASTOS,S/N,JARDIM GUANHEMBU,04814720,56622426,56618474,,Ativa,23,CIDADE DUTRA,2305,0271238,35271238,161075109000000,JARDIM PLANALTO,2D,MT,-23731129,-46685838,DIR,31/10/2016,14,485
019263,CEU EMEF,CIDADE DUTRA,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,CIDADE DUTRA,AVENIDA INTERLAGOS,7350,INTERLAGOS,04777000,56681927,56681932,,Ativa,23,CIDADE DUTRA,2302,0057125,35057125,161075500000200,,2D,MT,-23710910,-46704661,DIR,31/10/2016,24,644
019243,EMEF,"MARINA MELANDER COUTINHO, PROFA",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA RUBENS MONTANARO DE BORBA,862,JARDIM REGIS,04811120,56692463,56690861,,Ativa,23,CIDADE DUTRA,2303,0280331,35280331,161075107000000,IV CENTENARIO,2D,MTN,-23713704,-46691662,DIR,31/10/2016,31,747
016501,EMEF,"FLORESTAN FERNANDES, PROF.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA MARGUERITTE LONG,41,JARDIM GUANABARA,04860320,59713576,,,Ativa,23,CIDADE DUTRA,2309,0201960,35201960,161075104000000,JARDIM GUANABARA,2D,MTN,-23764234,-46712784,DIR,31/10/2016,29,822
019439,EMEF,"ALDINA ANALIA AGOSTINHA TADDEO CONDE, PROFA",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA FRANCESCO BARTOLOZZI,1,JARDIM ICARAÍ,04837210,59274253,59274286,,Ativa,23,CIDADE DUTRA,2309,0419801,35419801,161075185000000,JARDIM ICARAI,2D,MT,-23744845,-46704464,DIR,31/10/2016,24,672
019440,EMEF,"GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI, PROFA.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ANTÔNIO CALIXTO DA SILVA,85,VILA SANTA MARIA,04809240,56674753,,,Ativa,23,CIDADE DUTRA,2303,0415397,35415397,161075186000000,VILA SANTA MARIA,2D,MT,-23714390,-46696100,DIR,31/10/2016,29,667
019436,EMEF,CARLOS FRANCISCO GASPAR,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA HANS CHRISTIAN ANDERSEN,67,GRANJA NOSSA SENHORA APARECIDA,04860110,59255042,59255043,,Ativa,23,CIDADE DUTRA,2309,0415388,35415388,161075183000000,GRANJA NOSSA SENHORA APARECIDA,2D,MT,-23758578,-46713756,DIR,31/10/2016,28,717
019336,CEU EMEF,VILA RUBI,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,VILA RUBI,RUA DOMINGOS TARROSO,101,VILA RUBI,04823090,56629438,56629440,,Ativa,23,CIDADE DUTRA,2306,0298293,35298293,161075510000300,,2D,MTN,-23728152,-46697056,DIR,31/10/2016,36,905
019323,EMEI,"ODILEA BOTTA DE MATTOS, PROFA",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA VENÂNCIO POLETTI,181,JARDIM FLORESTA,04836110,59249326,59277184,59249326,Ativa,23,CIDADE DUTRA,2308,0287076,35287076,161075179000000,VILA SAO JOSE II,3D,MIV,-23740828,-46709722,DIR,31/10/2016,23,789
019331,CEU EMEI,VILA RUBI,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,VILA RUBI,RUA DOMINGOS TARROSO,101,VILA RUBI,04823090,5662-9433,,,Ativa,23,CIDADE DUTRA,2306,0298300,35298300,161075510000200,,2D,MT,-23728152,-46697056,DIR,31/10/2016,18,625
093327,EMEF,"AFRANIO DE MELLO FRANCO, DR.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ACÂMBARO,39,JARDIM CLIPER,04827250,56675444,56679313,,Ativa,23,CIDADE DUTRA,2307,0054227,35054227,161075101000000,E.M. DO JARDIM CLIPER,2D,MT,-23722652,-46701895,DIR,31/10/2016,26,651
093335,EMEF,JOAO DE DEUS CARDOSO DE MELLO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA MANOEL VITORINO PEREIRA,220,JORDANÓPOLIS,04830020,59280884,59289188,,Ativa,23,CIDADE DUTRA,2307,0054264,35054264,161075110000000,E.M. DO JARDIM JORDANOPOLIS,2D,MTN,-23732407,-46699498,DIR,31/10/2016,38,979
093343,EMEF,OLEGARIO MARIANO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA ANTONIO BORGES DA FONSECA,15,JARDIM FLORESTA,04836120,59394901,59717216,59717216,Ativa,23,CIDADE DUTRA,2308,0054343,35054343,161075120000000,E.M.P.G. VILA ROSALINA,2D,MTN,-23740669,-46709127,DIR,31/10/2016,39,1110
093351,EMEF,"MILTON FERREIRA DE ALBUQUERQUE, PROF.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA GEORGINA BOCCHIGLIERI,55,JARDIM BEATRIZ,04835250,59716565,5972-0031,,Ativa,23,CIDADE DUTRA,2308,0054331,35054331,161075118000000,E.M. DO JARDIM ROSALINA,2D,MT,-23737711,-46707351,DIR,31/10/2016,32,889
093408,EMEF,PAULO SETUBAL,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA FRANCISCO DE CALDAS,50,JARDIM ANA LUCIA,04812170,56616313,56613114,,Ativa,23,CIDADE DUTRA,2304,0054288,35054288,161075121000000,ESCOLA ISOLADA DE VILA SAO BENEDITO,2D,MTN,-23716522,-46690190,DIR,31/10/2016,29,729
093416,EMEF,"JOSE AMADEI, ENG.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA RAIMUNDO LOPES,115,JARDIM SATELITE,04816090,56674466,56674953,,Ativa,23,CIDADE DUTRA,2304,0054240,35054240,161075113000000,JARDIM IV CENTENARIO,2D,MT,-23704091,-46686269,DIR,31/10/2016,24,633
093424,EMEF,"MIGUEL VIEIRA FERREIRA, DR.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,PRACA ESCOLAR,S/N,CIDADE DUTRA,04810140,56690999,56665154,,Ativa,23,CIDADE DUTRA,2303,0054239,35054239,161075115000000,ESCOLA MISTA DA CIDADE DUTRA,2D,MTN,-23709399,-46699120,DIR,31/10/2016,31,783
090581,EMEI,LUIS TRAVASSOS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA SANTO ANTONIO DO CANTARO,88,JARDIM BONITO,04829090,59718809,59291929,59718809,Ativa,23,CIDADE DUTRA,2307,0085583,35085583,161075112000000,JARDIM DAS IMBUIAS,2D,MT,-23728360,-46709481,DIR,31/10/2016,8,279
090565,EMEI,CASTRO ALVES,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA MANOEL VITORINO PEREIRA,93,JORDANÓPOLIS,04830020,59710844,59394987,59394987,Ativa,23,CIDADE DUTRA,2307,0052310,35052310,161075103000000,,2D,MT,-23732246,-46699023,DIR,31/10/2016,14,486
090638,EMEI,SERGIO CARDOSO,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA DJALMA PESSOLATO,57,INTERLAGOS,04815120,56666106,,56676418,Ativa,23,CIDADE DUTRA,2303,0092885,35092885,161075117000000,JARDIM SATELITE,2D,MT,-23707116,-46690972,DIR,31/10/2016,12,388
098515,EMEI,"ALBERT SABIN, DR.",CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,AVENIDA JOAO PAULO DA SILVA,259,VILA DA PAZ,04777020,56673744,56675889,,Ativa,23,CIDADE DUTRA,2301,0095758,35095758,161075100000000,VILA DA PAZ,2D,MT,-23694077,-46695878,DIR,31/10/2016,8,266
308161,CR.P.CONV,JARDIM DOS PINHEIROS,CS,CAPELA DO SOCORRO,CAPELA DO SOCORRO,,RUA RELVA VELHA,138,JARDIM SERTÃOZINHO,04826220,35820111,35670118,,Ativa,23,CIDADE DUTRA,2307,0565799,35565799,,,2D,INTEGR,-23724043,-46712327,CON,31/10/2016,24,261
